sample,iou,dice,areaRatio,wallCount,expectedWalls,wallCountAbsError,doorCount,expectedDoors,doorCountAbsError,windowCount,expectedWindows,windowCountAbsError,roomCount,expectedRooms,roomCountAbsError,inferenceSeconds
sample_0001_clean_0001,0.46539881007105427,0.635183824188431,0.9674831155548502,17,28,11,,8,,,10,,,10,,0.11037989985197783
sample_0002_scan_0001,0.15005016959168724,0.2609454327457052,4.722343464044781,24,15,9,,6,,,10,,,8,,0.1862902999855578
sample_0003_scan_0002,0.15800526045048394,0.2728921289856959,5.877520086077579,37,28,9,,7,,,8,,,9,,0.2756938000675291
sample_0004_scan_0003,0.44952422691023064,0.6202369281794278,1.359220992564413,32,37,5,,8,,,10,,,9,,0.13041470001917332
sample_0005_scan_0004,0.3823496250491708,0.5531880186035721,1.4207570432577343,47,77,30,,28,,,23,,,24,,0.16626470012124628
sample_0006_scan_0005,0.1540339772177393,0.26694877318794347,3.6954881416720324,25,29,4,,10,,,8,,,11,,0.20926790009252727
sample_0007_scan_0006,0.2239697851141156,0.36597273533714564,2.9560368690612293,31,56,25,,14,,,13,,,14,,0.16167430009227246
sample_0008_scan_0007,0.33244406289731915,0.49899890307505984,1.8488565935374446,27,32,5,,13,,,16,,,14,,0.15532899997197092
sample_0009_scan_0008,0.1759661938564253,0.29927083750489036,4.6927730915595465,20,23,3,,9,,,7,,,9,,0.1449464000761509
sample_0010_scan_0012,0.45667748201649144,0.6270124823846508,1.6150959958209796,46,17,29,,9,,,8,,,8,,0.379618699895218
sample_0011_color_0001,0.3301838158297488,0.49644840344683505,1.9378580323785803,19,33,14,,10,,,10,,,9,,0.11949490010738373
sample_0012_color_0002,0.24951217687113986,0.39937534261720387,3.3013196480938416,19,15,4,,5,,,9,,,5,,0.12584970006719232
sample_0013_color_0003,0.40750358207709464,0.5790444688968103,1.518506841017897,19,30,11,,8,,,13,,,10,,0.12888359988573939
sample_0014_color_0004,0.29057533926169815,0.450303566823039,2.223444293401939,23,34,11,,6,,,7,,,7,,0.12114740000106394
sample_0015_color_0005,0.37936108187343975,0.5500533353575466,1.6942402290561123,13,28,15,,6,,,10,,,9,,0.12711049988865852
sample_0016_color_0006,0.2880887187926219,0.4473119197296584,1.9636395254167622,8,32,24,,10,,,11,,,11,,0.11599580000620335
sample_0017_color_0007,0.2946766745101987,0.4552127651819797,1.824532626897631,19,33,14,,8,,,10,,,9,,0.14857650001067668
sample_0018_color_0008,0.44994556265877556,0.6206378697883074,1.1821523853538642,15,21,6,,6,,,9,,,10,,0.1299960999749601
sample_0019_color_0009,0.3103415738818645,0.47368042053719306,2.267249860974462,15,19,4,,10,,,6,,,8,,0.12366849998943508
sample_0020_color_0010,0.46064169742094446,0.6307388023144891,1.2873570965214534,29,30,1,,9,,,11,,,11,,0.12675869988743216
sample_0021_color_0011,0.34926584623181,0.5177124244376738,1.571208551519743,19,35,16,,8,,,11,,,11,,0.12632100004702806
sample_0022_color_0012,0.3594997771543927,0.5288706672786248,1.8866288131819193,22,26,4,,10,,,8,,,11,,0.124299900024198
