sample,annotation,image,width,height,rooms,walls,doors,windows,fixtures
sample_0001_clean_0001,D:\新建文件夹\装修平面\训练平面图\01_公开住宅平面图_线稿待标注\clean_0001标注.json,D:\新建文件夹\装修平面\训练平面图\01_公开住宅平面图_线稿待标注\clean_0001.jpg,516,507,10,28,8,10,6
sample_0002_scan_0001,D:\新建文件夹\装修平面\训练平面图\02_公开扫描施工图_待清洗\scan_0001标注.json,D:\新建文件夹\装修平面\训练平面图\02_公开扫描施工图_待清洗\scan_0001.png,1430,1244,8,15,6,10,3
sample_0003_scan_0002,D:\新建文件夹\装修平面\训练平面图\02_公开扫描施工图_待清洗\scan_0002标注.json,D:\新建文件夹\装修平面\训练平面图\02_公开扫描施工图_待清洗\scan_0002.png,1648,1410,9,28,7,8,4
sample_0004_scan_0003,D:\新建文件夹\装修平面\训练平面图\02_公开扫描施工图_待清洗\scan_0003标注.json,D:\新建文件夹\装修平面\训练平面图\02_公开扫描施工图_待清洗\scan_0003.png,659,817,9,37,8,10,6
sample_0005_scan_0004,D:\新建文件夹\装修平面\训练平面图\02_公开扫描施工图_待清洗\scan_0004标注.json,D:\新建文件夹\装修平面\训练平面图\02_公开扫描施工图_待清洗\scan_0004.png,1394,778,24,77,28,23,5
sample_0006_scan_0005,D:\新建文件夹\装修平面\训练平面图\02_公开扫描施工图_待清洗\scan_0005标注.json,D:\新建文件夹\装修平面\训练平面图\02_公开扫描施工图_待清洗\scan_0005.png,1578,1406,11,29,10,8,1
sample_0007_scan_0006,D:\新建文件夹\装修平面\训练平面图\02_公开扫描施工图_待清洗\scan_0006标注.json,D:\新建文件夹\装修平面\训练平面图\02_公开扫描施工图_待清洗\scan_0006.png,1402,1274,14,56,14,13,1
sample_0008_scan_0007,D:\新建文件夹\装修平面\训练平面图\02_公开扫描施工图_待清洗\scan_0007标注.json,D:\新建文件夹\装修平面\训练平面图\02_公开扫描施工图_待清洗\scan_0007.png,1080,1440,14,32,13,16,2
sample_0009_scan_0008,D:\新建文件夹\装修平面\训练平面图\02_公开扫描施工图_待清洗\scan_0008标注.json,D:\新建文件夹\装修平面\训练平面图\02_公开扫描施工图_待清洗\scan_0008.png,1400,1434,9,23,9,7,4
sample_0010_scan_0012,D:\新建文件夹\装修平面\训练平面图\02_公开扫描施工图_待清洗\scan_0012标注.json,D:\新建文件夹\装修平面\训练平面图\02_公开扫描施工图_待清洗\scan_0012.jpg,2160,2576,8,17,9,8,3
sample_0011_color_0001,D:\新建文件夹\装修平面\训练平面图\03_彩色或家具平面图_待筛选\color_0001标注.json,D:\新建文件夹\装修平面\训练平面图\03_彩色或家具平面图_待筛选\color_0001.png,1019,910,9,33,10,10,6
sample_0012_color_0002,D:\新建文件夹\装修平面\训练平面图\03_彩色或家具平面图_待筛选\color_0002标注.json,D:\新建文件夹\装修平面\训练平面图\03_彩色或家具平面图_待筛选\color_0002.png,930,1049,5,15,5,9,1
sample_0013_color_0003,D:\新建文件夹\装修平面\训练平面图\03_彩色或家具平面图_待筛选\color_0003标注.json,D:\新建文件夹\装修平面\训练平面图\03_彩色或家具平面图_待筛选\color_0003.png,949,1125,10,30,8,13,4
sample_0014_color_0004,D:\新建文件夹\装修平面\训练平面图\03_彩色或家具平面图_待筛选\color_0004标注.json,D:\新建文件夹\装修平面\训练平面图\03_彩色或家具平面图_待筛选\color_0004.png,926,943,7,34,6,7,5
sample_0015_color_0005,D:\新建文件夹\装修平面\训练平面图\03_彩色或家具平面图_待筛选\color_0005标注.json,D:\新建文件夹\装修平面\训练平面图\03_彩色或家具平面图_待筛选\color_0005.png,765,935,9,28,6,10,6
sample_0016_color_0006,D:\新建文件夹\装修平面\训练平面图\03_彩色或家具平面图_待筛选\color_0006标注.json,D:\新建文件夹\装修平面\训练平面图\03_彩色或家具平面图_待筛选\color_0006.png,712,1125,11,32,10,11,3
sample_0017_color_0007,D:\新建文件夹\装修平面\训练平面图\03_彩色或家具平面图_待筛选\color_0007标注.json,D:\新建文件夹\装修平面\训练平面图\03_彩色或家具平面图_待筛选\color_0007.png,991,1125,9,33,8,10,3
sample_0018_color_0008,D:\新建文件夹\装修平面\训练平面图\03_彩色或家具平面图_待筛选\color_0008标注.json,D:\新建文件夹\装修平面\训练平面图\03_彩色或家具平面图_待筛选\color_0008.png,686,809,10,21,6,9,5
sample_0019_color_0009,D:\新建文件夹\装修平面\训练平面图\03_彩色或家具平面图_待筛选\color_0009标注.json,D:\新建文件夹\装修平面\训练平面图\03_彩色或家具平面图_待筛选\color_0009.png,809,1125,8,19,10,6,3
sample_0020_color_0010,D:\新建文件夹\装修平面\训练平面图\03_彩色或家具平面图_待筛选\color_0010标注.json,D:\新建文件夹\装修平面\训练平面图\03_彩色或家具平面图_待筛选\color_0010.png,868,1031,11,30,9,11,7
sample_0021_color_0011,D:\新建文件夹\装修平面\训练平面图\03_彩色或家具平面图_待筛选\color_0011标注.json,D:\新建文件夹\装修平面\训练平面图\03_彩色或家具平面图_待筛选\color_0011.png,908,911,11,35,8,11,4
sample_0022_color_0012,D:\新建文件夹\装修平面\训练平面图\03_彩色或家具平面图_待筛选\color_0012标注.json,D:\新建文件夹\装修平面\训练平面图\03_彩色或家具平面图_待筛选\color_0012.png,787,1125,11,26,10,8,7
